computerscience,computer science
bigbangtheory,big bang theory
thethe,the the
breakingbad,breaking bad
governmentshutdown,government shutdown
ilovemyfans,i love my fans
higgsboson,higgs boson
thirstythursday,thirsty thursday
twentysomething,twenty something
paidmedia,paid media
uppercase,uppercase
news,news
snowday,snow day
nobelprize,nobel prize
follow,follow
artiscool,art is cool
visualizedata,visualize data
naturallanguagetoolkit,natural language toolkit
clambake,clam bake
bmcbanter,b m c banter
mainlinenews,mainline news
heartbreaker,heartbreaker
ihatecoke,i hate coke
followme,follow me
nowplaying,now playing
